Powder,Status,Bug,--,Scene x2,--,"6, 1 Target, Interrupt, Powder","The target is dusted with a Coat of flammable powder. If the affected target uses a damaging Fire-Type attack, the attack is negated and instead creates a Blast 3 centered on itself as the powder explodes, and the Coat is removed. All legal targets within the Blast take damage equal to what the user of the Fire-Type attack would roll for the damage of their attack. This damage is Typeless or Fire-Type, whichever would be more effective."
Quiver Dance,Status,Bug,--,Scene x2,--,Self,"Raise the user's Special Attack, Special Defense, and Speed by +1 CS each."
Rage Powder,Status,Bug,--,Scene x2,--,Burst 1 or Line 6; Powder,"All legal targets hit by Rage Powder are Enraged. While enraged, they must shift to target the user when using a Move or Attack if the user is within reach. If the user is Fainted or Switched out, all legal targets hit by Rage Powder are no longer Enraged."
Signal Beam,Special,Bug,8,EOT,2,"6, 1 Target",Signal Beam Confuses the target on 19+.
Silver Wind,Special,Bug,6,At-Will,2,"6, 1 Target, Spirit Surge",Silver Wind raises each of the user's stats by +1 CS on 19+.
Spider Web,Status,Bug,--,Scene x2,--,"5, 1 Target","Spider Web cannot miss. The target is Stuck and Trapped. If the target is freed of the Stuck condition, it is freed of Trapped as well. *Grants Threaded"
Steamroller,Physical,Bug,7,EOT,2,"Melee, Pass","Steamroller Flinches the target on 15+. If the target is Small, Steamroller deals an additional +5 Damage."
Sticky Web,Status,Bug,--,EOT,--,"6, Hazard","Set 8 square meters of Sticky Web hazards within your range such that all 8 meters are adjacent with at least one other space of Sticky Web. Sticky Web causes Terrain to become Slow Terrain, and a grounded foe that runs into the hazard has its Speed lowered by -1 CS and becomes Slowed until the end of their next turn. Flying-type Pokemon and Pokemon and Trainers with Levitate are not affected by Sticky Web. Bug-type Pokemon may move over Sticky Web harmlessly, destroying theHazards as they do so. *Grants Threaded"
String Shot,Status,Bug,--,At-Will,3,Cone 2,"Lower the Speed of all legal targets by -1 CS. If this lowers their Speed CS to -6, or if their Speed CS was already at -6, they are instead Stuck. *Grants Threaded"
Struggle Bug,Special,Bug,5,At-Will,2,Cone 2,Lower the Special Attack of all legal targets by -1 CS.
Tail Glow,Status,Bug,--,Scene,--,Self,Raise the user’s Special Attack by +3 CS. *Grants Glow
Twineedle,Physical,Bug,3,At-Will,3,"Melee, 1 Target, Doublestrike",Twineedle Poisons the target on 18+.
U-Turn,Physical,Bug,7,At-Will,2,"Melee, 1 Target, Dash",The user deals damage and then is immediately recalled to its Poké Ball in the same turn. A New Pokémon may immediately be sent out. Using U-Turn lets a Trapped user be recalled.
X-Scissor,Physical,Bug,8,At-Will,2,"Melee, 1 Target, Dash",--
Assurance,Physical,Dark,6,At-Will,2,"Melee, 1 Target","If Assurance’s target has already been damaged by a Move on the same round Assurance is being used, Assurance has a Damage Base of 12 (3d12+10 / 30) instead. This effect may trigger only once per Scene per Target."
Beat Up,Physical,Dark,See Effect,EOT,--,"Melee, 1 Target","The user and up to two allies adjacent to the target may each make a Struggle Attack against the target. These Struggle Attacks hit for Dark-Type Damage instead of their usual Type. Beat Up may trigger Pack Hunt only once, no matter the number of attacks."
Bite,Physical,Dark,6,At-Will,2,"Melee, 1 Target",Bite Flinches the target on 15+.
Brutal Swing,Physical,Dark,6,EOT,2,Burst 1,--
Crunch,Physical,Dark,8,EOT,2,"Melee, 1 Target",Crunch lowers the target’s Defense by -1 CS on 17+.
Dark Pulse,Special,Dark,8,EOT,2,"8, 1 Target, Aura",Dark Pulse Flinches the target on 17+.
Dark Void,Status,Dark,--,EOT,4,"Melee, 1 Target","The target falls Asleep. Once per Scene, Dark Void may be used as if its range were “Burst 5, Friendly” instead."
Dark Void [SM],Status,Dark,--,EOT,10,"Melee, 1 Target","The target falls Asleep. Once per Scene, Dark Void may be used as if its range were “Burst 5, Friendly” instead."
Darkest Lariat,Physical,Dark,9,EOT,2,"Melee, 1 Target",This Move ignores the target’s positive Defense Combat Stages and all Damage Reduction.
Embargo,Status,Dark,--,At-Will,2,"6, 1 Target","The target cannot use or benefit from held items for the remainder of the encounter. Embargo may only affect one target at a time; if Embargo is used on a new target, the previous target is freed from the effect."
Fake Tears,Status,Dark,--,EOT,2,"8, 1 Target, Social",Lower the target's Special Defense by -2 CS.
False Surrender,Physical,Dark,8,EOT,--,"Melee, 1 Target",False Surrender cannot Miss.
Feint Attack,Physical,Dark,6,EOT,--,"Melee, 1 Target",Feint Attack Cannot Miss.
Flatter,Status,Dark,--,At-Will,2,"6, 1 Target, Social",Raise the target's Special Attack by +1 CS. Flatter Confuses the target.
Fling,Physical,Dark,See Effect,Scene x2,2,"6, 1 Target, Fling","The user throws a held item, determining the effect of Fling."
Foul Play,Physical,Dark,10,Scene x2,2,"Melee, 1 Target","The target reveals its Attack stat. When calculating damage, add the target's Attack stat instead of the user's Attack stat."
Hone Claws,Status,Dark,--,At-Will,--,Self,Raise the user's Attack by +1 CS and Accuracy by +1.
Hyperspace Fury,Physical,Dark,10,Daily,2,Burst 2,Interrupts may not be triggered against Hyperspace Fury. The user's Defense is lowered by -1 Combat Stage.
Jaw Lock,Physical,Dark,8,Scene x2,2,"Melee, 1 Target",You may perform a Grapple Maneuver against the target as a Free Action.
Knock Off,Physical,Dark,7,Scene,2,"Melee, 1 Target",Choose one of the target's Held Items or Accessory Slot Items. It is knocked to the ground.
Memento,Status,Dark,--,Scene,--,"8, 1 Target, Trigger, Free Action",Memento may be used as a Free Action that does not consume a Command action when the user becomes Fainted. Lower each of the target's stats by -2 CS.
Nasty Plot,Status,Dark,--,EOT,--,Self,Raise the user's Special Attack by +2 CS.
Night Daze,Special,Dark,9,EOT,3,"4, 1 Target",Night Daze lowers the target's Accuracy by -1 on 13+.
Night Slash,Physical,Dark,7,EOT,2,"Melee, Pass",Night Slash is a Critical Hit on 18+.
Obstruct,Status,Dark,--,Scene,--,"Self, Interrupt, Shield, Trigger","If the user is hit by a Move, the user may use Obstruct. The user is instead not hit by the Move. You do not take any damage nor are you affected by any of the Move’s effects. In addition, if the triggering attack was Melee ranged, the attacker’s Defense is lowered by 2 Combat Stages."
Parting Shot,Status,Dark,--,At-Will,2,"6, 1 Target, Social","If Parting Shot successfully hits, the target's Attack and Special Attack stats are lowered by one CS and the user is immediately recalled in the same turn. A new Pokemon may immediately be sent out. using Parting Shot lets a Trapped user be recalled."
Payback,Physical,Dark,5,EOT,2,"Melee, 1 Target","If the target hit the user with a Damaging Move on the previous turn, Payback has a Damage Base of 10 (3d8+10 / 24) instead."
Power Trip,Physical,Dark,2,EOT,2,"Melee, 1 Target","This Move gains +2 to its Damage Base for every positive Combat Stage held by the user, to a maximum of DB20."
Punishment,Physical,Dark,6,EOT,2,"Melee, 1 Target","Punishment's Damage Base is raised by +1 for each Combat Stage the target has, to a maximum of DB 12."
Pursuit,Physical,Dark,4,At-Will,2,"Melee, 1 Target","If the foe is fleeing or being switched out, Pursuit may be used as an Interrupt, targeting the triggering foe. When used as an Interrupt, Pursuit grants the user a +5 bonus to all Movement Speeds, and has a Damage Base of 8 (2d8+10/19)."
Quash,Status,Dark,--,At-Will,2,"10, 1 Target, Social",Change the target's Initiative to 0 for the remainder of the round.
Snarl,Special,Dark,6,EOT,3,"Cone 2, Sonic",Lower the Special Attack of all legal targets by -1 CS.
Snatch,Status,Dark,--,Scene x2,--,"6, 1 Target, Trigger, Interrupt","If the target uses a Self-Targeting Move, you may use Snatch as an Interrupt. You gain the benefits of the Self-Targeting Move instead of the target."
Sucker Punch,Physical,Dark,8,At-Will,2,"Melee, 1 Target, Trigger, Interrupt","If an adjacent foe targets the user with a Damaging Attack, Sucker Punch may be used as an Interrupt Move against the triggering foe."
Sucker Punch [SM],Physical,Dark,7,At-Will,2,"Melee, 1 Target, Trigger, Interrupt","If an adjacent foe targets the user with a Damaging Attack, Sucker Punch may be used as an Interrupt Move against the triggering foe."
Switcheroo,Status,Dark,--,At-Will,2,"Melee, 1 Target",The user and the target exchange held items.
Taunt,Status,Dark,--,EOT,3,"6, 1 Target, Social",The target becomes Enraged.
Thief,Physical,Dark,6,At-Will,2,"Melee, 1 Target",Thief takes the target's held item and attaches it to Thief's user if the user is not holding anything.
Throat Chop,Physical,Dark,8,EOT,2,"Melee, 1 Target",The target cannot use Moves with the Sonic keyword for the next two turns.
Topsy-Turvy,Status,Dark,--,EOT,4,"6, 1 Target","The target’s Combat Stages are inverted; +1 Stage becomes -1 Stage, -3 Stages becomes +3 Stages, etc."
Torment,Status,Dark,--,Scene x2,2,"10, 1 Target, Social",The target becomes Suppressed.
Breaking Swipe,Physical,Dragon,6,EOT,2,Close Blast 2,The target’s Attack is lowered 1 CS.
Clanging Scales,Special,Dragon,11,Scene x2,2,"6, 1 Target or Burst 1, Sonic","The user adds half their Defense Stat to Clanging Scale's Damage Roll. After the Move is resolved, the user's Defense is lowered by 1 CS."
Clangorous Soul,Status,Dragon,--,Scene,--,Self,The user loses 1/3rd of their Max Hit Points and has each of its stats raised by +1 Combat Stage.
Core Enforcer,Special,Dragon,10,Daily x2,2,"6, Ranged Blast 3, Spirit Surge","Each Target has its Ability disabled until the end of the encounter. If a target has more than one Ability, you choose one of them to disable."
Draco Meteor,Special,Dragon,13,Scene,4,"8, Ranged Blast 3, Smite",Lower the user's Special Attack by -2 CS after damage.
Dragon Claw,Physical,Dragon,8,At-Will,2,"Melee, 1 Target",--
Dragon Dance,Status,Dragon,--,EOT,--,Self,Raise the user’s Attack and Speed by +1 CS.
Dragon Darts,Physical,Dragon,5,EOT,2,"6, 1 Target, Double Strike; or 6, 2 Targets",--
Dragon Hammer,Physical,Dragon,9,EOT,2,"Melee, 1 Target or Line 3",--
Dragon Pulse,Special,Dragon,9,EOT,2,"8, 1 Target, Aura",--
Dragon Rage,Special,Dragon,15 Damage,At-Will,2,"4, 1 Target","Dragon Rage causes the target to lose 15 HP. Dragon Rage is Special and interacts with other moves and effects as such (Special Evasion may be applied to avoid it, Mirror Coat can reflect it, etc.)."
Dragon Rush,Physical,Dragon,10,Scene x2,4,"Melee, 1 Target, Dash, Push, Smite",The target is Pushed 3 Meters. Dragon Rush Flinches the target on 17+.
Dragon Tail,Physical,Dragon,6,At-Will,3,"Melee, 1 Target, Push",The target is Pushed 6 meters minus their Weight Class. The target is also Tripped on 15+.
Dragon Breath,Special,Dragon,6,EOT,2,"6, 1 Target",Dragon Breath Paralyzes the target on 15+.
Dual Chop,Physical,Dragon,5,EOT,3,"Melee, 1 Target, Doublestrike",--
Dynamax Cannon,Special,Dragon,10,Scene x2,2,"6, 1 Target","The DB of Dynamax Cannon increases by +2 for each positive CS the target has, to a maximum of DB 20."
Eternabeam,Special,Dragon,16,Scene,4,"Line 6, Smite, Exhaust",--
Outrage,Physical,Dragon,12,Scene x2,3,"Melee, All Adjacent Foes, Smite",Outrage makes the user becomes Enraged and Confused after damage is dealt.
Roar of Time,Special,Dragon,15,Daily x2,4,"Burst 8, Smite, Exhaust","Roar of Time Slows all legal targets, even if the attack misses."
Spacial Rend,Special,Dragon,10,Daily x2,3,"10, 1 Target",Spacial Rend is a Critical Hit on Even-Numbered Rolls.
Twister,Special,Dragon,4,At-Will,2,"6, Ranged Blast 3","Twister Flinches the target on 18+. Small or Medium targets in the central square of the blast are not hit. Any Pokémon Airborne as a result of Bounce, Fly, or Sky Drop above the Blast are hit, ignoring range, and Twister has a Damage Base of 8 against those targets instead."
Aura Wheel,Physical,Electric,11,Scene x2,2,"Melee, 1 Target","The user’s Speed is increased 1 CS. 
Special: If the user is in Hangry Mode, Aura Wheel is Dark-Typed."
Bolt Beak,Physical,Electric,9,Scene x2,2,"Melee, 1 Target","Against targets with a lower initiative that have not yet acted this round, Bolt Beak deals +10 damage."
Bolt Strike,Physical,Electric,13,Scene x2,5,"10, 1 Target, Smite",Bolt Strike Paralyzes the target on 17+.
Charge,Status,Electric,--,EOT,--,Self,"If the user performs an Electric Attack on its next turn, add its Damage Dice Roll an extra time to the damage. Raise the user's Special Defense by +1 CS."
Charge Beam,Special,Electric,5,At-Will,4,"6, 1 Target","If Charge Beam successfully hits a target, roll 1d20. On a roll of 7+, the user's Special Attack is raised by +1 Combat Stage."
Discharge,Special,Electric,8,EOT,2,All Cardinally Adjacent Targets,Discharge Paralyzes all legal targets on 15+.
Eerie Impulse,Status,Electric,--,EOT,2,"6, 1 Target",Lower the target's Special Attack by -2 CS. *Grants Glow.
Electric Terrain,Status,Electric,--,Daily x2,--,Field,"The field becomes Electrified for 5 rounds. While the field is Electrified, Pokemon and Trainers touching the ground are immune to Sleep, and Electric-Type attacks used by Pokemon and Trainers touching the ground gain a +10 Bonus to Damage Rolls."
Electrify,Status,Electric,--,EOT,--,"6, 1 Target.","Until the end of the user's next turn, the target's damaging Water-Type attacks and Melee attacks of any Type deal Electric-Type Damage instead of their usual Type."
Electro Ball,Special,Electric,6,Scene x2,2,"10, 1 Target","When determining the damage dealt by Electro Ball, the user adds its Speed Stat (including CS) in addition to their Special Attack Stat. The target in turn subtracts both its Speed and Special Defense Stats from the damage dealt before applying Type Effectiveness."
Electroweb,Special,Electric,6,EOT,3,"4, Ranged Blast 2",Lower the Speed of all legal targets by -1 CS.
Fusion Bolt,Physical,Electric,10,Scene x2,2,"8, 1 Target, Smite",Fusion Bolt has its Damage Base increased by +3 if Fusion Flare was used this round or last round by any participant of the encounter.
Ion Deluge,Status,Electric,--,Scene,--,"5, Ranged Blast 3, Interrupt",An ion cloud is dispersed in the targeted area. All Normal-Type Moves targeting into or originating from the area become Electric-Type Moves.
Magnet Rise,Status,Electric,--,Daily x2,--,"Self, Swift Action",The user gains the Levitate Ability for 5 turns. Magnet Rise may be activated as a Swift Action if the user is otherwise given an action that consumes a Command.
Magnetic Flux,Status,Electric,--,Scene,--,Burst 4,Raise the Defense and Special Defense of all legal targets with the Minus or Plus Abilities by +1 CS.
Magnetic Flux [SM],Status,Electric,--,Scene x2,--,Burst 4,Raise the Defense and Special Defense of all legal targets with the Minus or Plus Abilities by +1 CS.
Magnetic Flux [SS],Status,Electric,--,Scene x2,--,Burst 4,Choose +1 or -1. All targets that are Electric-Type or have the Magnetic Capability receive that many Defense and Special Defense Combat Stages.
Nuzzle,Physical,Electric,2,Scene,2,"Melee, 1 Target",Nuzzle Paralyzes the target.
Overdrive,Special,Electric,8,EOT,2,"Cone 2, Sonic",--
Parabolic Charge,Special,Electric,5,Scene,4,Cone 2,The user gains HP equal to half of the total damage the user dealt to all legal targets.
Parabolic Charge [SM],Special,Electric,7,Scene,2,Cone 2,The user gains HP equal to half of the total damage the user dealt to all legal targets.
Plasma Fists,Physical,Electric,10,Scene,5,"Melee, 1 Target, Smite",The Target's next damaging Normal Type Move instead becomes Electric Type.
Shock Wave,Special,Electric,6,At-Will,--,"6, 1 Target",Shock Wave cannot miss. *Grants Zapper
Spark,Physical,Electric,6,EOT,2,"Melee, 1 Target, Dash",Spark Paralyzes the target on 15+.
Thunder,Special,Electric,11,Scene x2,7,"12, 1 Target, Smite","Thunder Paralyzes the target on 15+. If the target is in Sunny Weather, Thunder's Accuracy Check is 11. If the target is in Rainy Weather, Thunder cannot miss. If the target is airborne as a result of Bounce, Fly, or Sky Drop, Thunder cannot miss."
Thunder Fang,Physical,Electric,7,At-Will,3,"Melee, 1 Target","Thunder Fang Paralyzes or Flinches on 18-19; flip a coin to determine whether the foe becomes Paralyzed or Flinched. On 20, the foe is both Paralyzed and Flinched."
Thunderbolt,Special,Electric,9,EOT,2,"4, 1 Target",Thunderbolt Paralyzes the target on 19+.
Thunder Punch,Physical,Electric,8,At-Will,2,"Melee, 1 Target",Thunder Punch Paralyzes the target on 19+.
Thunder Shock,Special,Electric,4,At-Will,2,"4, 1 Target",Thunder Shock Paralyzes the target on 17+. *Grants Zapper
Thunder Wave,Status,Electric,--,Scene x2,--,"6, 1 Target",Thunder Wave cannot miss. Thunder Wave Paralyzes the target. Pokémon immune to Electric Attacks are immune to Thunder Wave's effects.
Thunder Wave [SM],Status,Electric,--,Scene x2,4,"6, 1 Target",Thunder Wave cannot miss. Thunder Wave Paralyzes the target. Pokémon immune to Electric Attacks are immune to Thunder Wave's effects.
Volt Switch,Special,Electric,7,At-Will,2,"5, 1 Target","If Volt Switch successfully hits its target, the user deals damage and then immediately is returned to its Poke Ball in the same turn. A New Pokemon may immediately be sent out. Using Volt Switch lets a Trapped user be recalled"
Volt Tackle,Physical,Electric,12,Scene x2,2,"Melee, 1 Target, Dash, Recoil 1/3",Volt Tackle Paralyzes the target on 19+.
Wild Charge,Physical,Electric,9,At-Will,2,"Melee, 1 Target, Dash, Recoil 1/4",--
Zap Cannon,Special,Electric,12,At-Will,9,"12, 1 Target",Zap Cannon Paralyzes the target. Zap Cannon ignores the target's Evasion if their are no other combatants or Rough or Blocking Terrain within 2 meters of the target.
Zing Zap,Physical,Electric,8,EOT,2,"Melee, 1 Target",Zing Zap Flinches the target on 15+.
Aromatic Mist,Status,Fairy,--,EOT,--,Burst 1,Raise the Special Defense of all allied legal targets by +1 CS.
Baby-Doll Eyes,Status,Fairy,--,EOT,2," 4, 1 Target, Priority, Social",Lower the target's Attack by -1 CS.
Charm,Status,Fairy,--,EOT,2,"6, 1 Target, Social",Lower the target’s Attack by -2 CS.
Crafty Shield,Status,Fairy,--,Scene,--,"Burst 2, Trigger, Interrupt, Shield","If the user or an Ally within 2 meters of Crafty Shield's user is hit by a Status Move, you may use Crafty Shield as an Interrupt. All targets in Crafty Shield's area-of-effect including the user, are instead not hit by the triggering Move and do not suffer any of its effects."
Dazzling Gleam,Special,Fairy,8,EOT,2,Cone 2,--
Decorate,Status,Fairy,--,Scene,--,"Melee, 1 Target",The target gains +2 CS in both Attack and Special Attack.
Disarming Voice,Special,Fairy,4,At-Will,--,Burst 1,Disarming Voice cannot miss.
Draining Kiss,Special,Fairy,5,EOT,2,"Melee, 1 Target",The user gains HP equal to half of the damage the user dealt to the target.
Fairy Lock,Status,Fairy,--,Scene,--,"Burst 3, Friendly","All legal targets become Trapped and Slowed while the user remains in the encounter. If the user is switched or knocked out, this effect ends."
Fairy Wind,Special,Fairy,4,At-Will,2,"6, 1 Target",--
Fleur Cannon,Special,Fairy,13,Scene,4,"Line 9, Smite",Lower the user’s Special Attack 2 Combat Stages after damage.
Floral Healing,Status,Fairy,--,Daily x2,--,"Melee, 1 Target, Healing","The target recovers 1/2 their maximum Hit Points. If the Field is Grassy Terrain, the target instead recovers 2/3 their maximum Hit Points."
Flower Shield,Status,Fairy,--,Scene,--,Burst 2,Raise the Defense of all Grass-Type legal targets by +2 CS.
Geomancy,Status,Fairy,--,Scene,--,"Self, Set Up","Set-Up Effect: The user may not shift this round. The user may create as many squares of Rough Terrain as it wants within a Burst 3 as plants burst through the ground, regardless of the surface material. Resolution Effect: Geomancy raises the user's Special Attack, Special Defense, and Speed by +2 CS."
Light of Ruin,Special,Fairy,14,Scene,4,"8, Ranged Blast 3, Smite, Recoil 1/2",--
Spirit Break,Physical,Fairy,8,EOT,2,"Melee, 1 Target",The target’s Special Attack stat is lowered 1 CS.
Sweet Kiss,Status,Fairy,--,Scene x2,6,"6, 1 Target, Social","The target is Confused. On miss, the target suffers a -2 penalty to Accuracy Rolls for one full round."
Misty Terrain,Status,Fairy,--,Daily x2,--,Field,"The area becomes Misty for 5 turns, While Misty, all Pokemon and Traners standing on the ground ignore the first turn of all Status Afflictions, and Dragon-type attacks targeting or origination from a grounded Pokemon or Trainer take a -10 Penalty to Damage Rolls."
Moonblast,Special,Fairy,10,EOT,2,"6, 1 Target",Moonblast lowers the target’s Special Attack by -1 CS on 15+.
Moonlight,Status,Fairy,--,Daily x2,--,"Self, Healing","The user regains HP equal to half of its full HP. If it is Sunny, the user gains 2/3 of its full HP. If it is Rainy, Sand Storming, or Hailing, the user gains 1/4 of its full HP."
Nature's Madness,Special,Fairy,--,Scene,4,"4, 1 Target, HP Loss",The target loses half of their current Hit Points.
Play Rough,Physical,Fairy,9,EOT,4,"Melee, 1 Target",Play Rough lowers the target’s Attack by -1 CS on 17+.
Strange Steam,Special,Fairy,9,Scene x2,3,Burst 1,The target is confused on 17+.
Arm Thrust,Physical,Fighting,2,EOT,4,"Melee, 1 Target, Five Strike",--
Aura Sphere,Special,Fighting,8,EOT,--,"8, 1 Target, Aura",Aura Sphere cannot miss.
Body Press,Physical,Fighting,8,Scene x2,2,"Melee, 1 Target", The user’s Defense Stat is added to the damage roll instead of the Attack Stat.
Brick Break,Physical,Fighting,8,At-Will,2,"Melee, 1 Target", Light Screen and Reflect may not be activated in response to Brick Break.
Bulk Up,Status,Fighting,--,EOT,--,Self,Raise the user’s Attack and Defense by +1 CS each.
Circle Throw,Physical,Fighting,6,At-Will,4,"Melee, 1 Target, Push",The target is Pushed 6 meters minus their Weight Class. The target is also Tripped on 15+.
Close Combat,Physical,Fighting,12,Scene x2,2,"Melee, 1 Target, Dash",Lower the user’s Defense and Special Defense by -1 CS each after damage.
Counter,Physical,Fighting,See Effect,Scene x2,--,"Melee, 1 Target, Reaction, Trigger","Counter may be used as a Reaction when the user is hit by a damaging Physical Attack. Resolve the Triggering Attack, with Counter's user resisting the attack one step further. After the attack is resolved, if Counter's user was not Fainted, the triggering foe then loses Hit Points equal to twice the amount of Hit Points lost by the user from the triggering attack. Note that Counter is Physical, and while it cannot miss, it cannot hit targets immune to Fighting-Type Moves."
Cross Chop,Physical,Fighting,10,Scene x2,4,"Melee, 1 Target",Cross Chop is a Critical Hit on 16+.
Detect,Status,Fighting,--,Scene,--,"Self, Trigger, Interrupt, Shield","If the user is hit by a Move, the user may use Detect. The user is instead not hit by the Move. You do not take any damage nor are you affected by anty of the Move's effects"
Double Kick,Physical,Fighting,3,At-Will,3,"Melee, 1 Target, Double Strike",--
Drain Punch,Physical,Fighting,8,Scene x2,2,"Melee, 1 Target, Aura","After the target takes damage, the user gains HP equal to half of the damage it dealt to the target."
Dynamic Punch,Physical,Fighting,10,At-Will,9,"Melee, 1 Target",Dynamic Punch Confuses the target. Dynamic Punch ignores the target's Evasion if they are Flanked.
Final Gambit,Special,Fighting,--,Scene,2,"Melee, 1 Target",Final Gambit lowers the user to 0 Hit Points and causes them to Faint. Final Gambit then deals 1 point of damage to the target for every Hit Point lost by the user. Final Gambit does not cause items to activate.
Flying Press,Physical,Fighting,8,EOT,3,"Melee, Dash, 1 Target","Flying Press may deal Flying Type damage if the user wishes. NOTE: If Flying Press is Move Sync'd, it only changes the Fighting Type portion of the Move. You can still only choose between that Type and Flying Type; you cannot shift Flying Press to change the Flying part to another Type."
Flying Press [SM],Physical,Fighting,10,EOT,3,"Melee, Dash, 1 Target","Flying Press may deal Flying Type damage if the user wishes. NOTE: If Flying Press is Move Sync'd, it only changes the Fighting Type portion of the Move. You can still only choose between that Type and Flying Type; you cannot shift Flying Press to change the Flying part to another Type."
Focus Blast,Special,Fighting,12,Scene x2,7,"6, 1 Target, Smite, Aura",Focus Blast lowers the target's Special Defense by -1 CS on 18+.
Focus Punch,Physical,Fighting,15,Scene x2,2,"Melee, 1 Target, Priority (Limited), Aura","Use of Focus Punch must be declared as a Priority (Limited) action at the beginning of the round. Nothing happens at this time. At the end of the round, if the target hasn't been hit by an attack dealing damage equal to at least 25% of the user's Maximum Hit Points, the user may Shift and use Focus Punch. Focus Punch's Frequency is not expended if it is negated by an attack."
Force Palm,Physical,Fighting,6,At-Will,2,"Melee, 1 Target",Force Palm Paralyzes the target on 18+.
Hammer Arm,Physical,Fighting,10,EOT,3,"Melee, 1 Target",The user lowers their Speed by -1 CS.
High Jump Kick,Physical,Fighting,13,EOT,3,"Melee, Dash, 1 Target","If High Jump Kick misses, the user loses Hit Points equal to 1/4th of their Max Hit Points. A failure to hit due to a Move with the Shield keyword does not count as a miss. This cannot be used if Gravity is in effect."
Jump Kick,Physical,Fighting,10,At-Will,3,"Melee, Dash, 1 Target","If Jump Kick misses, the user loses Hit Points equal to 1/4th of their Max Hit Points. A failure to hit due to a Move with the Shield keyword does not count as a miss. This cannot be used if Gravity is in effect."
Karate Chop,Physical,Fighting,5,At-Will,2,"Melee, 1 Target",Karate Chop is a Critical Hit on 17+.
Low Kick,Physical,Fighting,"X, See Effect",EOT,2,"Melee, 1 Target, Weight Class",Low Kick's Damage Base is equal to twice the target's Weight Class.
Low Sweep,Physical,Fighting,7,EOT,2,"Melee, 1 Target",Lower the target’s Speed by -1 CS.
Mach Punch,Physical,Fighting,4,At-Will,2,"Melee, 1 Target, Priority",--
Mat Block,Status,Fighting,--,Scene,--,"Self, Trigger, Interrupt, Shield","If the user or an adjacent ally is hit by a damagin attack, the user may use Mat Block. The attack instead does not hit any targets, and it deals no damage and has no effects. You may only use Mat Block during the first round of an encounter"
Meteor Assault,Physical,Fighting,15,Daily x2,2,"Burst 1, Smite, Exhaust",--
No Retreat,Status,Fighting,--,Scene,--,Self,"The user gains +1 CS in each stat. In addition, the user may not be recalled or switched out until the end of the Scene, and counts as Slowed for the purposes of any movement that would end further away from the nearest enemy than the user started."
Octolock,Status,Fighting,--,Scene,2,"Melee, 1 Target","The user initiates a Grapple Maneuver with the target, which automatically hits. If successful, until the user no longer has Dominance in the grapple, the target is Trapped and loses 1 CS in Defense and Special Defense at the end of each of their turns."
Power-Up Punch,Physical,Fighting,4,EOT,2,"Melee, 1 Target","If Power-Up Punch successfully hits a target, the user's Attack is raised by +1 Combat Stage"
